,Tweet,TOkens
287,Perhaps bcz it never reached the level it has/had in this era.,"['Perhaps', 'bcz', 'it', 'never', 'reached', 'the', 'level', 'it', 'has/had', 'in', 'this', 'era', '.']"
288, #LasVegas #LasVegasRally #TrumpRallyLasVegas #AmericaFirst #KAG2020 #MAGA2020 #2020election #KeepAmericaGreat #Election…,"['#', 'LasVegas', '#', 'LasVegasRally', '#', 'TrumpRallyLasVegas', '#', 'AmericaFirst', '#', 'KAG2020', '#', 'MAGA2020', '#', '2020election', '#', 'KeepAmericaGreat', '#', 'Election…']"
289, Here here,"['Here', 'here']"
290,While favoring #Trump re-election think hard about this...#Election2020 ,"['While', 'favoring', '#', 'Trump', 're-election', 'think', 'hard', 'about', 'this', '...', '#', 'Election2020']"
291, Everyone I know who voted 4Will VOTE forif He gets the nomination. Maybe trum… ,"['Everyone', 'I', 'know', 'who', 'voted', '4Will', 'VOTE', 'forif', 'He', 'gets', 'the', 'nomination', '.', 'Maybe', 'trum…']"
292, Studying how education/awareness can be given in small doses &amp; integrated in everyday media consumption practices for peop…,"['Studying', 'how', 'education/awareness', 'can', 'be', 'given', 'in', 'small', 'doses', '&', 'amp', ';', 'integrated', 'in', 'everyday', 'media', 'consumption', 'practices', 'for', 'peop…']"
293,#Election2020 ,"['#', 'Election2020']"
294, Floridais requiring that all persons seeking employment in the State be confirmed e-verified legal resi…,"['Floridais', 'requiring', 'that', 'all', 'persons', 'seeking', 'employment', 'in', 'the', 'State', 'be', 'confirmed', 'e-verified', 'legal', 'resi…']"
295,#REPUBLICANS HAVE BLOCKED 20 BILLS TO PROTECT OUR #Election2020!📣📣📣📣📣📣📣#GOPBetrayedAmerica #TrumpIsARussianAsset… ,"['#', 'REPUBLICANS', 'HAVE', 'BLOCKED', '20', 'BILLS', 'TO', 'PROTECT', 'OUR', '#', 'Election2020', '!', '📣📣📣📣📣📣📣', '#', 'GOPBetrayedAmerica', '#', 'TrumpIsARussianAsset…']"
296," 🔴REQUEST THAT President CARTER, CLINTON, BUSH, and OBAMA release a statement asking Trump to RESIGN IMMEDIATLY. 🔴 *…","['🔴REQUEST', 'THAT', 'President', 'CARTER', ',', 'CLINTON', ',', 'BUSH', ',', 'and', 'OBAMA', 'release', 'a', 'statement', 'asking', 'Trump', 'to', 'RESIGN', 'IMMEDIATLY', '.', '🔴', '*…']"
297, Which #JasonJohnson? THIS Jason Johnson? The one Yvette Carnell eviscerated a while back? 😏 #ados #reparations #election2…,"['Which', '#', 'JasonJohnson', '?', 'THIS', 'Jason', 'Johnson', '?', 'The', 'one', 'Yvette', 'Carnell', 'eviscerated', 'a', 'while', 'back', '?', '😏', '#', 'ados', '#', 'reparations', '#', 'election2…']"
298,Also hello from our forthrally and third rally state of the #election2020 cycle. ,"['Also', 'hello', 'from', 'our', 'forthrally', 'and', 'third', 'rally', 'state', 'of', 'the', '#', 'election2020', 'cycle', '.']"
299,"To end this #CrimeMinisters #MurderousReign, concentrate on the #SoCalled #Independents that are #Aiding &amp; #Abeting… ","['To', 'end', 'this', '#', 'CrimeMinisters', '#', 'MurderousReign', ',', 'concentrate', 'on', 'the', '#', 'SoCalled', '#', 'Independents', 'that', 'are', '#', 'Aiding', '&', 'amp', ';', '#', 'Abeting…']"
300,I was interested to see which candidate my views mostly aligned with so I searched for a site and found this one:… ,"['I', 'was', 'interested', 'to', 'see', 'which', 'candidate', 'my', 'views', 'mostly', 'aligned', 'with', 'so', 'I', 'searched', 'for', 'a', 'site', 'and', 'found', 'this', 'one', ':', '…']"
301,"Hope Bloomberg's online trolls already cashed their $2,500/month checks.","['Hope', 'Bloomberg', ""'s"", 'online', 'trolls', 'already', 'cashed', 'their', '$', '2,500/month', 'checks', '.']"
302,"SHARE this with a #college STUDENT you know.The #campus echo chamber, in its certitude, doesn't see the naivete of… ","['SHARE', 'this', 'with', 'a', '#', 'college', 'STUDENT', 'you', 'know.The', '#', 'campus', 'echo', 'chamber', ',', 'in', 'its', 'certitude', ',', 'does', ""n't"", 'see', 'the', 'naivete', 'of…']"
303,"Michael #Bloomberg to release female employees from gag orders to ""address complaints about comments they said I ha… ","['Michael', '#', 'Bloomberg', 'to', 'release', 'female', 'employees', 'from', 'gag', 'orders', 'to', '``', 'address', 'complaints', 'about', 'comments', 'they', 'said', 'I', 'ha…']"
304, did this from a debate stage. Imagine what she could from the Oval Office.#ElizabethWarren… ,"['did', 'this', 'from', 'a', 'debate', 'stage', '.', 'Imagine', 'what', 'she', 'could', 'from', 'the', 'Oval', 'Office.', '#', 'ElizabethWarren…']"
305, Dougsaid it: Mon Feb 24 I will be guest hosting entire 2-hour7PM ET Video at …,"['Dougsaid', 'it', ':', 'Mon', 'Feb', '24', 'I', 'will', 'be', 'guest', 'hosting', 'entire', '2-hour7PM', 'ET', 'Video', 'at', '…']"
306,Bernie Sanders briefed by U.S. officials that Russia is trying to help his presidential campaign… ,"['Bernie', 'Sanders', 'briefed', 'by', 'U.S.', 'officials', 'that', 'Russia', 'is', 'trying', 'to', 'help', 'his', 'presidential', 'campaign…']"
307, Why is Russia better than us at growth hacking? #growthhacking #growthmarketing #marketing #russia #election2020,"['Why', 'is', 'Russia', 'better', 'than', 'us', 'at', 'growth', 'hacking', '?', '#', 'growthhacking', '#', 'growthmarketing', '#', 'marketing', '#', 'russia', '#', 'election2020']"
308,Eve of #NevadaCaucus #ElectionFraud #ElectionIntegrity Caucus site leader resogns over Non-Disclosure Agreement.… ,"['Eve', 'of', '#', 'NevadaCaucus', '#', 'ElectionFraud', '#', 'ElectionIntegrity', 'Caucus', 'site', 'leader', 'resogns', 'over', 'Non-Disclosure', 'Agreement.…']"
309,Who needs Russia when you have the DNC being whored out by billionaires rigging the process on one side and Donald… ,"['Who', 'needs', 'Russia', 'when', 'you', 'have', 'the', 'DNC', 'being', 'whored', 'out', 'by', 'billionaires', 'rigging', 'the', 'process', 'on', 'one', 'side', 'and', 'Donald…']"
310," Let's say that reports of ""Russians want Trump"" &amp; ""Russians are trying to interfere with the Dem prim… ","['Let', ""'s"", 'say', 'that', 'reports', 'of', '``', 'Russians', 'want', 'Trump', ""''"", '&', 'amp', ';', '``', 'Russians', 'are', 'trying', 'to', 'interfere', 'with', 'the', 'Dem', 'prim…']"
311,We do our research. #NevadaCaucus2020 #ElizabethWarren,"['We', 'do', 'our', 'research', '.', '#', 'NevadaCaucus2020', '#', 'ElizabethWarren']"
312,#election2020 #decision2020 #vote2020 Very important statement by Arvin Vohra - please read #tellthetruth… ,"['#', 'election2020', '#', 'decision2020', '#', 'vote2020', 'Very', 'important', 'statement', 'by', 'Arvin', 'Vohra', '-', 'please', 'read', '#', 'tellthetruth…']"
313,I hope everyone running for president reads this helpful FAQ on the #HatchAct. #Election2020… ,"['I', 'hope', 'everyone', 'running', 'for', 'president', 'reads', 'this', 'helpful', 'FAQ', 'on', 'the', '#', 'HatchAct', '.', '#', 'Election2020…']"
314,Trump Rallygoers in Phoenix: 18 Percent Were Democrats and About a Quarter Didn't Vote in 2016… ,"['Trump', 'Rallygoers', 'in', 'Phoenix', ':', '18', 'Percent', 'Were', 'Democrats', 'and', 'About', 'a', 'Quarter', 'Did', ""n't"", 'Vote', 'in', '2016…']"
315," Looks like...less than 3 weeks!👌🏻🤣👍🏻 Never stop being you, ...with each shovel load of #RussianCollusion you heap…","['Looks', 'like', '...', 'less', 'than', '3', 'weeks', '!', '👌🏻🤣👍🏻', 'Never', 'stop', 'being', 'you', ',', '...', 'with', 'each', 'shovel', 'load', 'of', '#', 'RussianCollusion', 'you', 'heap…']"
316,#election2020 #decision2020 #vote2020 Very important statement by Arvin Vohra - please read #tellthetruth… ,"['#', 'election2020', '#', 'decision2020', '#', 'vote2020', 'Very', 'important', 'statement', 'by', 'Arvin', 'Vohra', '-', 'please', 'read', '#', 'tellthetruth…']"
317, #election2020 #decision2020 #vote2020 Very important statement by Arvin Vohra - please read #tellthetruth #proudlyLP…,"['#', 'election2020', '#', 'decision2020', '#', 'vote2020', 'Very', 'important', 'statement', 'by', 'Arvin', 'Vohra', '-', 'please', 'read', '#', 'tellthetruth', '#', 'proudlyLP…']"
318," And the award for ""Most Ironic tweet of 2020 so far"" goes to...#TrumpsBrigade #MAGAmillions #CC2020C #TWGRP #akgop #El…","['And', 'the', 'award', 'for', '``', 'Most', 'Ironic', 'tweet', 'of', '2020', 'so', 'far', ""''"", 'goes', 'to', '...', '#', 'TrumpsBrigade', '#', 'MAGAmillions', '#', 'CC2020C', '#', 'TWGRP', '#', 'akgop', '#', 'El…']"
319,"I *WANT* an Angry Woman as My President, Actuallybyfor… ","['I', '*WANT*', 'an', 'Angry', 'Woman', 'as', 'My', 'President', ',', 'Actuallybyfor…']"
320, did this from a debate stage. Imagine what she could do from the Oval Office.#ElizabethWarren… ,"['did', 'this', 'from', 'a', 'debate', 'stage', '.', 'Imagine', 'what', 'she', 'could', 'do', 'from', 'the', 'Oval', 'Office.', '#', 'ElizabethWarren…']"
321,#ElizabethWarren #Election2020 #BHM,"['#', 'ElizabethWarren', '#', 'Election2020', '#', 'BHM']"
322,"Bill went to Harvard AND Oxford. C'mon, he deserves this.#BillWeld #election2020 ","['Bill', 'went', 'to', 'Harvard', 'AND', 'Oxford', '.', ""C'mon"", ',', 'he', 'deserves', 'this.', '#', 'BillWeld', '#', 'election2020']"
323," Bloomberg Is Paying More Each Month for ""Social Media Influencers"" to Promote His Campaign Than Russia Paid for Internet Ads…","['Bloomberg', 'Is', 'Paying', 'More', 'Each', 'Month', 'for', '``', 'Social', 'Media', 'Influencers', ""''"", 'to', 'Promote', 'His', 'Campaign', 'Than', 'Russia', 'Paid', 'for', 'Internet', 'Ads…']"
324, Floridais requiring that all persons seeking employment in the State be confirmed e-verified legal resi…,"['Floridais', 'requiring', 'that', 'all', 'persons', 'seeking', 'employment', 'in', 'the', 'State', 'be', 'confirmed', 'e-verified', 'legal', 'resi…']"
325,#PiousPete #Buttigieg admits government healthcare for illegals is 'a pillar' of his plan.#Election2020#NVCaucus… ,"['#', 'PiousPete', '#', 'Buttigieg', 'admits', 'government', 'healthcare', 'for', 'illegals', 'is', ""'"", 'a', 'pillar', ""'"", 'of', 'his', 'plan.', '#', 'Election2020', '#', 'NVCaucus…']"
326, Just finished an amazing interview with Rep.ahead of the #Democrat primary this week for . I can’…,"['Just', 'finished', 'an', 'amazing', 'interview', 'with', 'Rep.ahead', 'of', 'the', '#', 'Democrat', 'primary', 'this', 'week', 'for', '.', 'I', 'can', '’', '…']"
327, Floridais requiring that all persons seeking employment in the State be confirmed e-verified legal resi…,"['Floridais', 'requiring', 'that', 'all', 'persons', 'seeking', 'employment', 'in', 'the', 'State', 'be', 'confirmed', 'e-verified', 'legal', 'resi…']"
328, Do you believe America would be better off if more Christians served in elected office?#Retweet #Poll #Election2020 #…,"['Do', 'you', 'believe', 'America', 'would', 'be', 'better', 'off', 'if', 'more', 'Christians', 'served', 'in', 'elected', 'office', '?', '#', 'Retweet', '#', 'Poll', '#', 'Election2020', '#', '…']"
329, Do you believe America would be better off if more Christians served in elected office?#Retweet #Poll #Election2020 #…,"['Do', 'you', 'believe', 'America', 'would', 'be', 'better', 'off', 'if', 'more', 'Christians', 'served', 'in', 'elected', 'office', '?', '#', 'Retweet', '#', 'Poll', '#', 'Election2020', '#', '…']"
330," Chris Love is a prominent, black, female, Arizona-based attorney, public activist, and member of. She came…","['Chris', 'Love', 'is', 'a', 'prominent', ',', 'black', ',', 'female', ',', 'Arizona-based', 'attorney', ',', 'public', 'activist', ',', 'and', 'member', 'of', '.', 'She', 'came…']"
331, Come on ! This is UNBELIEVABLE ! Conservative Christians please help flip this Poll ! 🙏🙏#CCOT,"['Come', 'on', '!', 'This', 'is', 'UNBELIEVABLE', '!', 'Conservative', 'Christians', 'please', 'help', 'flip', 'this', 'Poll', '!', '🙏🙏', '#', 'CCOT']"
332, Ok Christians!We are not ashamed of the gospel and boldly proclaim our Lord and Savior Jesus.Let’s flip this poll.Ple…,"['Ok', 'Christians', '!', 'We', 'are', 'not', 'ashamed', 'of', 'the', 'gospel', 'and', 'boldly', 'proclaim', 'our', 'Lord', 'and', 'Savior', 'Jesus.Let', '’', 's', 'flip', 'this', 'poll.Ple…']"
333,Need more votes!Really lopsided.Vote and retweet.,"['Need', 'more', 'votes', '!', 'Really', 'lopsided.Vote', 'and', 'retweet', '.']"
334," Let’s flip this poll, patriots. More Christians, less ANTI American Muslims in our Congress 🙏🇺🇸❤️🐾","['Let', '’', 's', 'flip', 'this', 'poll', ',', 'patriots', '.', 'More', 'Christians', ',', 'less', 'ANTI', 'American', 'Muslims', 'in', 'our', 'Congress', '🙏🇺🇸❤️🐾']"
335, Ok Christians!We are not ashamed of the gospel and boldly proclaim our Lord and Savior Jesus.Let’s flip this poll.Ple…,"['Ok', 'Christians', '!', 'We', 'are', 'not', 'ashamed', 'of', 'the', 'gospel', 'and', 'boldly', 'proclaim', 'our', 'Lord', 'and', 'Savior', 'Jesus.Let', '’', 's', 'flip', 'this', 'poll.Ple…']"
336, Do you believe America would be better off if more Christians served in elected office?#Retweet #Poll #Election2020 #…,"['Do', 'you', 'believe', 'America', 'would', 'be', 'better', 'off', 'if', 'more', 'Christians', 'served', 'in', 'elected', 'office', '?', '#', 'Retweet', '#', 'Poll', '#', 'Election2020', '#', '…']"
337," u guys can report #DemocraticSocialist accusingof Election Fraud by clicking on ""Report This Tweet &gt;&gt; This Tw…","['u', 'guys', 'can', 'report', '#', 'DemocraticSocialist', 'accusingof', 'Election', 'Fraud', 'by', 'clicking', 'on', '``', 'Report', 'This', 'Tweet', '&', 'gt', ';', '&', 'gt', ';', 'This', 'Tw…']"
338,The #DNC has had YEARS to get their act together and THIS is what they present to the American people? This is like… ,"['The', '#', 'DNC', 'has', 'had', 'YEARS', 'to', 'get', 'their', 'act', 'together', 'and', 'THIS', 'is', 'what', 'they', 'present', 'to', 'the', 'American', 'people', '?', 'This', 'is', 'like…']"
339, quant à vous ...vous saborder la France et les Français depuis votre arrivée #LREM à éradiquer…,"['quant', 'à', 'vous', '...', 'vous', 'saborder', 'la', 'France', 'et', 'les', 'Français', 'depuis', 'votre', 'arrivée', '#', 'LREM', 'à', 'éradiquer…']"
340,Ex-Sanders Criminal Justice Adviser Arrested After Plotting Violent JailbreakHe allegedly planted loaded weapons… ,"['Ex-Sanders', 'Criminal', 'Justice', 'Adviser', 'Arrested', 'After', 'Plotting', 'Violent', 'JailbreakHe', 'allegedly', 'planted', 'loaded', 'weapons…']"
341, #REPUBLICANS HAVE BLOCKED 20 BILLS TO PROTECT OUR #Election2020!📣📣📣📣📣📣📣#GOPBetrayedAmerica #TrumpIsARussianAsset #RussianI…,"['#', 'REPUBLICANS', 'HAVE', 'BLOCKED', '20', 'BILLS', 'TO', 'PROTECT', 'OUR', '#', 'Election2020', '!', '📣📣📣📣📣📣📣', '#', 'GOPBetrayedAmerica', '#', 'TrumpIsARussianAsset', '#', 'RussianI…']"
342,RT : Bernie Bros never fail to miss the point. They think only progressives matter in this race. While they're boasting large…,"['RT', ':', 'Bernie', 'Bros', 'never', 'fail', 'to', 'miss', 'the', 'point', '.', 'They', 'think', 'only', 'progressives', 'matter', 'in', 'this', 'race', '.', 'While', 'they', ""'re"", 'boasting', 'large…']"
343,did this from a debate stage. Imagine what she could do from the Oval Office.#ElizabethWarren #ElizabethWarren202…,"['did', 'this', 'from', 'a', 'debate', 'stage', '.', 'Imagine', 'what', 'she', 'could', 'do', 'from', 'the', 'Oval', 'Office.', '#', 'ElizabethWarren', '#', 'ElizabethWarren202…']"
344," Please, please, don't say that SMOD is one of #Bloomberg's social media influencers. #Election2020","['Please', ',', 'please', ',', 'do', ""n't"", 'say', 'that', 'SMOD', 'is', 'one', 'of', '#', 'Bloomberg', ""'s"", 'social', 'media', 'influencers', '.', '#', 'Election2020']"
345,"US election 2020: #Sanders 'told of Russian effort to aid his campaign'. He denounced #Putin as an ""autocratic thug… ","['US', 'election', '2020', ':', '#', 'Sanders', ""'told"", 'of', 'Russian', 'effort', 'to', 'aid', 'his', 'campaign', ""'"", '.', 'He', 'denounced', '#', 'Putin', 'as', 'an', '``', 'autocratic', 'thug…']"
346,"After 2018 and with the GOP in disarray, the Democrats have a once in a generation chance for an enduring governing… ","['After', '2018', 'and', 'with', 'the', 'GOP', 'in', 'disarray', ',', 'the', 'Democrats', 'have', 'a', 'once', 'in', 'a', 'generation', 'chance', 'for', 'an', 'enduring', 'governing…']"
347,"Russia helping Bernie now, then they will help Trump in November, Bernie getting played heavy while Democrats &amp; Ame… ","['Russia', 'helping', 'Bernie', 'now', ',', 'then', 'they', 'will', 'help', 'Trump', 'in', 'November', ',', 'Bernie', 'getting', 'played', 'heavy', 'while', 'Democrats', '&', 'amp', ';', 'Ame…']"
348, Trump has the wrong idea about who the enemy is. Always has. #Trump #Russia #Election…,"['Trump', 'has', 'the', 'wrong', 'idea', 'about', 'who', 'the', 'enemy', 'is', '.', 'Always', 'has', '.', '#', 'Trump', '#', 'Russia', '#', 'Election…']"
349," A President who answered to Vlad Was valuable as his comrade.In a state of delusion,His Russian collusionProved his treas…","['A', 'President', 'who', 'answered', 'to', 'Vlad', 'Was', 'valuable', 'as', 'his', 'comrade.In', 'a', 'state', 'of', 'delusion', ',', 'His', 'Russian', 'collusionProved', 'his', 'treas…']"
350," Great to see Ralph Nader doing so great in the polls in 2020. Oh, sorry, I meant Bernie Sanders.… ","['Great', 'to', 'see', 'Ralph', 'Nader', 'doing', 'so', 'great', 'in', 'the', 'polls', 'in', '2020', '.', 'Oh', ',', 'sorry', ',', 'I', 'meant', 'Bernie', 'Sanders.…']"
351,RT : In fact.. the new allegations of Russian meddling could be setting the stage for an excuse for a 2nd #Trump term. #Electi…,"['RT', ':', 'In', 'fact..', 'the', 'new', 'allegations', 'of', 'Russian', 'meddling', 'could', 'be', 'setting', 'the', 'stage', 'for', 'an', 'excuse', 'for', 'a', '2nd', '#', 'Trump', 'term', '.', '#', 'Electi…']"
352," Looks like...less than 3 weeks!👌🏻🤣👍🏻 Never stop being you, ...with each shovel load of #RussianCollusion you heap…","['Looks', 'like', '...', 'less', 'than', '3', 'weeks', '!', '👌🏻🤣👍🏻', 'Never', 'stop', 'being', 'you', ',', '...', 'with', 'each', 'shovel', 'load', 'of', '#', 'RussianCollusion', 'you', 'heap…']"
353,What Andrew Yang is doing right now. via#YangGang #Election2020 #GoAxim,"['What', 'Andrew', 'Yang', 'is', 'doing', 'right', 'now', '.', 'via', '#', 'YangGang', '#', 'Election2020', '#', 'GoAxim']"
354,#Election2020 #Decision2020 ,"['#', 'Election2020', '#', 'Decision2020']"
355,RT : #Election2020 #Decision2020 ,"['RT', ':', '#', 'Election2020', '#', 'Decision2020']"
356," Imagine that! Nothing to back up #Russia 2.0 claims! No evidence!Fancy, that!Who’s surprised?😲Mildly shocked?🙀Y…","['Imagine', 'that', '!', 'Nothing', 'to', 'back', 'up', '#', 'Russia', '2.0', 'claims', '!', 'No', 'evidence', '!', 'Fancy', ',', 'that', '!', 'Who', '’', 's', 'surprised', '?', '😲Mildly', 'shocked', '?', '🙀Y…']"
357, Which #JasonJohnson? THIS Jason Johnson? The one Yvette Carnell eviscerated a while back? 😏 #ados #reparations #election2…,"['Which', '#', 'JasonJohnson', '?', 'THIS', 'Jason', 'Johnson', '?', 'The', 'one', 'Yvette', 'Carnell', 'eviscerated', 'a', 'while', 'back', '?', '😏', '#', 'ados', '#', 'reparations', '#', 'election2…']"
358," Trump is not a king, and voters will prove that to him in November. #Election2020","['Trump', 'is', 'not', 'a', 'king', ',', 'and', 'voters', 'will', 'prove', 'that', 'to', 'him', 'in', 'November', '.', '#', 'Election2020']"
359, Floridais requiring that all persons seeking employment in the State be confirmed e-verified legal resi…,"['Floridais', 'requiring', 'that', 'all', 'persons', 'seeking', 'employment', 'in', 'the', 'State', 'be', 'confirmed', 'e-verified', 'legal', 'resi…']"
360,"In 2016, I gave my vote to black women by voting as black activist groups recommended. Doing it again this year. Th… ","['In', '2016', ',', 'I', 'gave', 'my', 'vote', 'to', 'black', 'women', 'by', 'voting', 'as', 'black', 'activist', 'groups', 'recommended', '.', 'Doing', 'it', 'again', 'this', 'year', '.', 'Th…']"
361,RT : #Election2020 #Decision2020 ,"['RT', ':', '#', 'Election2020', '#', 'Decision2020']"
362,"Ever notice how rich people who support socialism are hypocrites, but poor people who support socialism are thieves… ","['Ever', 'notice', 'how', 'rich', 'people', 'who', 'support', 'socialism', 'are', 'hypocrites', ',', 'but', 'poor', 'people', 'who', 'support', 'socialism', 'are', 'thieves…']"
363, Our nonpartisan Election Protection team () makes sure nothing stands in the way of Americans’ freedom to vote.…,"['Our', 'nonpartisan', 'Election', 'Protection', 'team', '(', ')', 'makes', 'sure', 'nothing', 'stands', 'in', 'the', 'way', 'of', 'Americans', '’', 'freedom', 'to', 'vote.…']"
364,"#rickastley for #president #election2020 @ Las Vegas, Nevada ","['#', 'rickastley', 'for', '#', 'president', '#', 'election2020', '@', 'Las', 'Vegas', ',', 'Nevada']"
365," ""Elizabeth Warren is just one prominent ex-conservative who eventually saw the light.""#Election2020#ElizabethWarren…","['``', 'Elizabeth', 'Warren', 'is', 'just', 'one', 'prominent', 'ex-conservative', 'who', 'eventually', 'saw', 'the', 'light', '.', '``', '#', 'Election2020', '#', 'ElizabethWarren…']"
366, #PiousPete #Buttigieg admits government healthcare for illegals is 'a pillar' of his plan.#Election2020#NVCaucus#Su…,"['#', 'PiousPete', '#', 'Buttigieg', 'admits', 'government', 'healthcare', 'for', 'illegals', 'is', ""'"", 'a', 'pillar', ""'"", 'of', 'his', 'plan.', '#', 'Election2020', '#', 'NVCaucus', '#', 'Su…']"
367,The #NevadaCaucuses wrap up tomorrow! Don't forget to get civically engaged. Stick with for coverage… ,"['The', '#', 'NevadaCaucuses', 'wrap', 'up', 'tomorrow', '!', 'Do', ""n't"", 'forget', 'to', 'get', 'civically', 'engaged', '.', 'Stick', 'with', 'for', 'coverage…']"
368,Please take a moment to respond to this poll a… ,"['Please', 'take', 'a', 'moment', 'to', 'respond', 'to', 'this', 'poll', 'a…']"
369," Hey #TeamFollowBack,this is my Friday #FBRParty 🥳Please:❤️ Like🔃 Retweet✅ Follow💬 Reply💯 I will follow back!#FBR…","['Hey', '#', 'TeamFollowBack', ',', 'this', 'is', 'my', 'Friday', '#', 'FBRParty', '🥳Please', ':', '❤️', 'Like🔃', 'Retweet✅', 'Follow💬', 'Reply💯', 'I', 'will', 'follow', 'back', '!', '#', 'FBR…']"
370,"(2/3)""There’s a lot of work to do to electup and down the ballot this November, and the hardworkin… ","['(', '2/3', ')', ""''"", 'There', '’', 's', 'a', 'lot', 'of', 'work', 'to', 'do', 'to', 'electup', 'and', 'down', 'the', 'ballot', 'this', 'November', ',', 'and', 'the', 'hardworkin…']"
371, Non-disclosures are not always sexual harassment only. I worked as SP Mg… ,"['Non-disclosures', 'are', 'not', 'always', 'sexual', 'harassment', 'only', '.', 'I', 'worked', 'as', 'SP', 'Mg…']"
372," Looks like...less than 3 weeks!👌🏻🤣👍🏻 Never stop being you, ...with each shovel load of #RussianCollusion you heap…","['Looks', 'like', '...', 'less', 'than', '3', 'weeks', '!', '👌🏻🤣👍🏻', 'Never', 'stop', 'being', 'you', ',', '...', 'with', 'each', 'shovel', 'load', 'of', '#', 'RussianCollusion', 'you', 'heap…']"
373," Good afternoon, patriots!I think I may be under a shadowban, at least as of yesterday...but that's not going to stop m…","['Good', 'afternoon', ',', 'patriots', '!', 'I', 'think', 'I', 'may', 'be', 'under', 'a', 'shadowban', ',', 'at', 'least', 'as', 'of', 'yesterday', '...', 'but', 'that', ""'s"", 'not', 'going', 'to', 'stop', 'm…']"
374, Floridais requiring that all persons seeking employment in the State be confirmed e-verified legal resi…,"['Floridais', 'requiring', 'that', 'all', 'persons', 'seeking', 'employment', 'in', 'the', 'State', 'be', 'confirmed', 'e-verified', 'legal', 'resi…']"
375,"Make another poll for this, Jason. Trust in your Ialdabaoth. 😉","['Make', 'another', 'poll', 'for', 'this', ',', 'Jason', '.', 'Trust', 'in', 'your', 'Ialdabaoth', '.', '😉']"
376,If you are on the fence please reconsider voting for this guy. We need to beat Trump. This is trash #Election2020… ,"['If', 'you', 'are', 'on', 'the', 'fence', 'please', 'reconsider', 'voting', 'for', 'this', 'guy', '.', 'We', 'need', 'to', 'beat', 'Trump', '.', 'This', 'is', 'trash', '#', 'Election2020…']"
377, Ex-Sanders Criminal Justice Adviser Arrested After Plotting Violent JailbreakHe allegedly planted loaded weapons and…,"['Ex-Sanders', 'Criminal', 'Justice', 'Adviser', 'Arrested', 'After', 'Plotting', 'Violent', 'JailbreakHe', 'allegedly', 'planted', 'loaded', 'weapons', 'and…']"
378, This is probably my favoritephoto I took while backstage as he’s getting ready to be called out to the stage @…,"['This', 'is', 'probably', 'my', 'favoritephoto', 'I', 'took', 'while', 'backstage', 'as', 'he', '’', 's', 'getting', 'ready', 'to', 'be', 'called', 'out', 'to', 'the', 'stage', '@', '…']"
379,Why are all the swings states known for being occupied by some of the most racist people? #ElectoralCollege has got to go! #Election2020,"['Why', 'are', 'all', 'the', 'swings', 'states', 'known', 'for', 'being', 'occupied', 'by', 'some', 'of', 'the', 'most', 'racist', 'people', '?', '#', 'ElectoralCollege', 'has', 'got', 'to', 'go', '!', '#', 'Election2020']"
380, Floridais requiring that all persons seeking employment in the State be confirmed e-verified legal resi…,"['Floridais', 'requiring', 'that', 'all', 'persons', 'seeking', 'employment', 'in', 'the', 'State', 'be', 'confirmed', 'e-verified', 'legal', 'resi…']"
381,"#Kentucky #GOTV #Election2020 #Vote . 🗳🇺🇸More info, to support, to donate ","['#', 'Kentucky', '#', 'GOTV', '#', 'Election2020', '#', 'Vote', '.', '🗳🇺🇸More', 'info', ',', 'to', 'support', ',', 'to', 'donate']"
382," In 2016, I gave my vote to black women by voting as black activist groups recommended. Doing it again this year. They are bette…","['In', '2016', ',', 'I', 'gave', 'my', 'vote', 'to', 'black', 'women', 'by', 'voting', 'as', 'black', 'activist', 'groups', 'recommended', '.', 'Doing', 'it', 'again', 'this', 'year', '.', 'They', 'are', 'bette…']"
383,#Kentucky… ,"['#', 'Kentucky…']"
384, The 2020 primary election is coming up. Make sure your voter registration information is correct and up-to-date before you…,"['The', '2020', 'primary', 'election', 'is', 'coming', 'up', '.', 'Make', 'sure', 'your', 'voter', 'registration', 'information', 'is', 'correct', 'and', 'up-to-date', 'before', 'you…']"
385,Good Saturday #Resisters! Doors open for the #NevadaCaucus as we move a step closer to picking #TheChosenOne who wi… ,"['Good', 'Saturday', '#', 'Resisters', '!', 'Doors', 'open', 'for', 'the', '#', 'NevadaCaucus', 'as', 'we', 'move', 'a', 'step', 'closer', 'to', 'picking', '#', 'TheChosenOne', 'who', 'wi…']"
386, The 2020 primary election is coming up. Make sure your voter registration information is correct and up-to-date before you…,"['The', '2020', 'primary', 'election', 'is', 'coming', 'up', '.', 'Make', 'sure', 'your', 'voter', 'registration', 'information', 'is', 'correct', 'and', 'up-to-date', 'before', 'you…']"
387, Do you believe America would be better off if more Christians served in elected office?#Retweet #Poll #Election2020 #…,"['Do', 'you', 'believe', 'America', 'would', 'be', 'better', 'off', 'if', 'more', 'Christians', 'served', 'in', 'elected', 'office', '?', '#', 'Retweet', '#', 'Poll', '#', 'Election2020', '#', '…']"
388, Do you believe America would be better off if more Christians served in elected office?#Retweet #Poll #Election2020 #…,"['Do', 'you', 'believe', 'America', 'would', 'be', 'better', 'off', 'if', 'more', 'Christians', 'served', 'in', 'elected', 'office', '?', '#', 'Retweet', '#', 'Poll', '#', 'Election2020', '#', '…']"
